id,full_address,house_number,street_name,locality1,locality2,locality3,city_town,county,daft_sticker,ad_info,date_of_sale, sold_price_eur , asking_price_eur , price_diff ,bed_no,bath_no,house_type,size
780,26 herbert park ballsbridge dublin 4 dublin,26, herbert park,ballsbridge,,,dublin 4,dublin,,ADVANTAGE,23/08/2023,"4,700,000.00","5,000,000.00","-300,000.00",6,3,Semi-D,460
763,60 ailesbury road ballsbridge dublin 4 dublin,60, ailesbury road,ballsbridge,,,dublin 4,dublin,,,06/05/2024,"3,100,000.00","3,450,000.00","-350,000.00",4,4,Detached,339
1017,35 abbotts hill malahide dublin,35, abbotts hill,,,,malahide,dublin,,,11/04/2024,"3,000,000.00","2,950,000.00","50,000.00",5,5,Detached,487
764,1 argyle road donnybrook dublin 4 dublin,1, argyle road,donnybrook,,,dublin 4,dublin,,,11/10/2023,"2,500,000.00","2,250,000.00","250,000.00",4,,Semi-D,277
1036,4 willow bank monkstown dublin,4, willow bank,,,,monkstown,dublin,,ADVANTAGE,09/02/2024,"2,300,000.00","2,500,000.00","-200,000.00",6,3,Semi-D,341
772,135 strand road sandymount dublin 4 dublin,135, strand road,sandymount,,,dublin 4,dublin,,,14/06/2024,"2,010,000.00","1,950,000.00","60,000.00",4,3,Terrace,243
957,24 corrig avenue dun laoghaire dublin,24, corrig avenue,,,,dun laoghaire,dublin,,,27/11/2023,"1,935,000.00","1,900,000.00","35,000.00",5,4,Detached,300
859,159 templeogue road terenure dublin 6 dublin,159, templeogue road,terenure,,,dublin 6,dublin,,,13/10/2023,"1,875,000.00","1,495,000.00","380,000.00",4,3,Semi-D,210
1969,54 eagle valley enniskerry wicklow,54, eagle valley,,,,enniskerry,wicklow,,,04/01/2024,"1,700,000.00","1,600,000.00","100,000.00",6,7,Detached,466
683,17 lad lane upper dublin 2 dublin,17, lad lane upper,,,,dublin 2,dublin,,,11/12/2023,"1,615,000.00","1,450,000.00","165,000.00",3,2,Semi-D,100
1366,908 ladycastle straffan kildare,908, ladycastle,,,,straffan,kildare,,,12/03/2024,"1,562,500.00","1,650,000.00","-87,500.00",4,5,Detached,353
562,27 maple lodge farmleigh woods castleknock dublin 15 dublin,27, maple lodge,farmleigh woods,castleknock,,dublin 15,dublin,,,05/01/2024,"1,550,000.00","1,400,000.00","150,000.00",3,3,Detached,207
